epsilon,area,perimeter,compacity,aspect_ratio_bounding_box,aspect_ratio_ellipse,centroid_distance_ratio,centroid_x,centroid_y,label
3.4824978065490724,1893.5,174.1248903274536,1.2742262226548686,0.9807692307692307,1.34783042380713,0.7419330965800315,494,897,0
0.8779898953437806,128.5,43.899494767189026,1.1934550112547895,1.0,1.043557789453023,0.958260299627629,823,826,0
4.337056245803833,2999.0,216.85281229019165,1.2477965705964074,0.9104477611940298,1.4132292625579161,0.7075992738715446,808,742,0
5.762152917385102,3623.0,288.10764586925507,1.823187647036682,1.2236842105263157,2.687507204234274,0.37209202580906964,687,748,0
3.680487701892853,2023.0,184.02438509464264,1.3321250763793415,0.847457627118644,1.2061747861076704,0.8290672392738393,995,579,0
4.268771970272065,2720.5,213.4385985136032,1.3325617002951837,1.1,1.4653708173244255,0.6824211238394037,874,387,0
8.615533833503724,10865.5,430.77669167518616,1.3590793475936425,0.9224806201550387,1.1620782567867591,0.8605272443226684,489,394,0
3.844507911205292,2179.0,192.2253955602646,1.3494426502201011,1.018181818181818,1.3402164699194672,0.7461481204301939,223,333,0
4.52132030248642,2964.5,226.06601512432098,1.3718582501660637,1.2096774193548387,1.310737282406625,0.7629293935729936,869,258,0
3.788771963119507,1910.5,189.43859815597534,1.4947894930541148,1.5333333333333334,1.6383550937205897,0.6103682918512311,1122,902,1
7.082152903079987,7419.0,354.10764515399933,1.344978590890055,0.99,1.0689086031784512,0.9355336808277639,747,844,1
6.722985513210297,6447.5,336.14927566051483,1.3946432997601028,0.8691588785046729,1.591270969840606,0.6284284819826556,855,847,1
9.188914775848389,12969.0,459.44573879241943,1.2952455283152997,1.036764705882353,1.266196585214222,0.7897667800381996,991,843,1
9.308082172870636,10784.5,465.4041086435318,1.598271470009928,1.7835051546391754,1.7994796359955532,0.5557162081730116,294,576,1
6.020731546878815,5004.5,301.03657734394073,1.4410132614635562,1.640625,1.7055368604103605,0.5863256451457726,662,494,1
3.8004876923561097,2255.0,190.02438461780548,1.274272349132362,1.2352941176470589,1.2464905929387775,0.8022523440328249,476,271,1
7.947249569892883,10109.0,397.36247849464417,1.2429557024002365,1.0982142857142858,1.1144666651988033,0.8972901848272113,72,281,1
3.619898953437805,2222.0,180.99494767189026,1.173218723990276,0.9152542372881356,1.1576022656222849,0.8638545636073339,609,215,1
6.821564149856568,7235.0,341.07820749282837,1.279556726987694,1.09375,1.0768349236020727,0.9286474445451159,1044,134,1
6.436122570037842,6268.5,321.8061285018921,1.314665078606911,0.9897959183673469,1.0603327834558696,0.9431001432783855,713,827,2
6.1552899861335755,6353.0,307.7644993066788,1.186446953489468,1.0333333333333334,1.0729355856549176,0.9320224003844575,916,758,2
6.27813268661499,6366.0,313.9066343307495,1.2317554447676895,0.9583333333333334,1.2653985489069501,0.7902648543921589,402,717,2
6.303574261665345,6812.5,315.1787130832672,1.1603723630031835,1.054945054945055,1.087145628949619,0.9198399674992781,647,634,2
5.197300100326538,4548.5,259.8650050163269,1.1814559515823273,1.051948051948052,1.0837842506470952,0.9226928693630027,939,602,2
6.82440685749054,7750.0,341.220342874527,1.1955239025367057,1.1473684210526316,1.1464459147496548,0.8722609476247,218,476,2
4.9564674901962285,4116.0,247.8233745098114,1.1874061732714833,0.9090909090909091,1.116450136896234,0.8956960700278394,674,423,2
5.260731549263,4754.5,263.03657746315,1.1580240374673667,1.0384615384615385,1.033797071046746,0.9673078285929699,124,274,2
6.908427059650421,8000.0,345.42135298252106,1.1868573150303348,1.0721649484536082,1.1586463622129908,0.8630761141734571,939,278,2
6.20700570344925,6481.5,310.35028517246246,1.1825483546819826,1.1149425287356323,1.123545966668645,0.8900392415319123,255,256,2
6.973868644237519,7130.5,348.6934322118759,1.356930756599855,1.1538461538461537,1.157751763212139,0.8637430162278807,614,153,2
3.4824978065490724,1893.5,174.1248903274536,1.2742262226548686,0.9807692307692307,1.34783042380713,0.7419330965800315,494,897,0
0.8779898953437806,128.5,43.899494767189026,1.1934550112547895,1.0,1.043557789453023,0.958260299627629,823,826,0
4.337056245803833,2999.0,216.85281229019165,1.2477965705964074,0.9104477611940298,1.4132292625579161,0.7075992738715446,808,742,0
5.762152917385102,3623.0,288.10764586925507,1.823187647036682,1.2236842105263157,2.687507204234274,0.37209202580906964,687,748,0
3.680487701892853,2023.0,184.02438509464264,1.3321250763793415,0.847457627118644,1.2061747861076704,0.8290672392738393,995,579,0
4.268771970272065,2720.5,213.4385985136032,1.3325617002951837,1.1,1.4653708173244255,0.6824211238394037,874,387,0
8.615533833503724,10865.5,430.77669167518616,1.3590793475936425,0.9224806201550387,1.1620782567867591,0.8605272443226684,489,394,0
3.844507911205292,2179.0,192.2253955602646,1.3494426502201011,1.018181818181818,1.3402164699194672,0.7461481204301939,223,333,0
4.52132030248642,2964.5,226.06601512432098,1.3718582501660637,1.2096774193548387,1.310737282406625,0.7629293935729936,869,258,0
3.788771963119507,1910.5,189.43859815597534,1.4947894930541148,1.5333333333333334,1.6383550937205897,0.6103682918512311,1122,902,1
7.082152903079987,7419.0,354.10764515399933,1.344978590890055,0.99,1.0689086031784512,0.9355336808277639,747,844,1
6.722985513210297,6447.5,336.14927566051483,1.3946432997601028,0.8691588785046729,1.591270969840606,0.6284284819826556,855,847,1
9.188914775848389,12969.0,459.44573879241943,1.2952455283152997,1.036764705882353,1.266196585214222,0.7897667800381996,991,843,1
9.308082172870636,10784.5,465.4041086435318,1.598271470009928,1.7835051546391754,1.7994796359955532,0.5557162081730116,294,576,1
